"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2015100000","2015年度","01463","北海道 占冠村","","1,211","","604","","607",""
"2015100000","2015年度","01464","北海道 和寒町","","3,596","","1,656","","1,940",""
"2015100000","2015年度","01465","北海道 剣淵町","","3,228","","1,567","","1,661",""
"2015100000","2015年度","01468","北海道 下川町","","3,547","","1,718","","1,829",""
"2015100000","2015年度","01469","北海道 美深町","","4,659","","2,287","","2,372",""
"2015100000","2015年度","01470","北海道 音威子府村","","832","","435","","397",""
"2015100000","2015年度","01471","北海道 中川町","","1,767","","938","","829",""
"2015100000","2015年度","01472","北海道 幌加内町","","1,525","","754","","771",""
"2015100000","2015年度","01481","北海道 増毛町","","4,497","","2,024","","2,473",""
"2015100000","2015年度","01482","北海道 小平町","","3,336","","1,585","","1,751",""
"2015100000","2015年度","01483","北海道 苫前町","","3,265","","1,549","","1,716",""
"2015100000","2015年度","01484","北海道 羽幌町","","7,327","","3,490","","3,837",""
"2015100000","2015年度","01485","北海道 初山別村","","1,217","","578","","639",""
"2015100000","2015年度","01486","北海道 遠別町","","2,806","","1,368","","1,438",""
"2015100000","2015年度","01487","北海道 天塩町","","3,243","","1,643","","1,600",""
"2015100000","2015年度","01511","北海道 猿払村","","2,684","","1,282","","1,402",""
"2015100000","2015年度","01512","北海道 浜頓別町","","3,881","","1,871","","2,010",""
"2015100000","2015年度","01513","北海道 中頓別町","","1,757","","869","","888",""
"2015100000","2015年度","01514","北海道 枝幸町","","8,437","","3,983","","4,454",""
"2015100000","2015年度","01516","北海道 豊富町","","4,054","","2,037","","2,017",""
"2015100000","2015年度","01517","北海道 礼文町","","2,773","","1,398","","1,375",""
"2015100000","2015年度","01518","北海道 利尻町","","2,303","","1,122","","1,181",""
