,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
3080,2010年度,25-206,滋賀県,草津市,130874,67819.0,63055.0
3081,2010年度,25-207,滋賀県,守山市,76560,37659.0,38901.0
3082,2010年度,25-208,滋賀県,栗東市,63655,31762.0,31893.0
3083,2010年度,25-209,滋賀県,甲賀市,92704,46058.0,46646.0
3084,2010年度,25-210,滋賀県,野洲市,49955,24807.0,25148.0
3085,2010年度,25-211,滋賀県,湖南市,54614,28199.0,26415.0
3086,2010年度,25-212,滋賀県,高島市,52486,25566.0,26920.0
3087,2010年度,25-213,滋賀県,東近江市,115479,56872.0,58607.0
3088,2010年度,25-214,滋賀県,米原市,40060,19475.0,20585.0
3089,2010年度,25-383,滋賀県,日野町,22870,11394.0,11476.0
3090,2010年度,25-384,滋賀県,竜王町,12916,6841.0,6075.0
3091,2010年度,25-425,滋賀県,愛荘町,20118,9935.0,10183.0
3092,2010年度,25-441,滋賀県,豊郷町,7566,3633.0,3933.0
3093,2010年度,25-442,滋賀県,甲良町,7500,3575.0,3925.0
3094,2010年度,25-443,滋賀県,多賀町,7761,3667.0,4094.0
3095,2010年度,26-100,京都府,京都市,1474015,701088.0,772927.0
3107,2010年度,26-201,京都府,福知山市,79652,39045.0,40607.0
3108,2010年度,26-202,京都府,舞鶴市,88669,44347.0,44322.0
3109,2010年度,26-203,京都府,綾部市,35836,17036.0,18800.0
3110,2010年度,26-204,京都府,宇治市,189609,91971.0,97638.0
3111,2010年度,26-205,京都府,宮津市,19948,9375.0,10573.0
3112,2010年度,26-206,京都府,亀岡市,92399,44889.0,47510.0
3113,2010年度,26-207,京都府,城陽市,80037,38622.0,41415.0
3114,2010年度,26-208,京都府,向日市,54328,26159.0,28169.0
3115,2010年度,26-209,京都府,長岡京市,79844,38837.0,41007.0
3116,2010年度,26-210,京都府,八幡市,74227,36381.0,37846.0
3117,2010年度,26-211,京都府,京田辺市,67910,33683.0,34227.0
3118,2010年度,26-212,京都府,京丹後市,59038,28235.0,30803.0
3119,2010年度,26-213,京都府,南丹市,35214,17174.0,18040.0
3120,2010年度,26-214,京都府,木津川市,69761,33531.0,36230.0
3121,2010年度,26-303,京都府,大山崎町,15121,7340.0,7781.0
3122,2010年度,26-322,京都府,久御山町,15914,7780.0,8134.0
3123,2010年度,26-343,京都府,井手町,8447,4129.0,4318.0
3124,2010年度,26-344,京都府,宇治田原町,9711,4798.0,4913.0
3125,2010年度,26-364,京都府,笠置町,1626,764.0,862.0
3126,2010年度,26-365,京都府,和束町,4482,2111.0,2371.0
3127,2010年度,26-366,京都府,精華町,35630,17079.0,18551.0
3128,2010年度,26-367,京都府,南山城村,3078,1464.0,1614.0
3129,2010年度,26-407,京都府,京丹波町,15732,7393.0,8339.0
3130,2010年度,26-463,京都府,伊根町,2410,1117.0,1293.0
3131,2010年度,26-465,京都府,与謝野町,23454,11039.0,12415.0
3132,2010年度,27-100,大阪府,大阪市,2665314,1293798.0,1371516.0
3157,2010年度,27-140,大阪府,堺市,841966,404756.0,437210.0
3165,2010年度,27-202,大阪府,岸和田市,199234,95730.0,103504.0
3166,2010年度,27-203,大阪府,豊中市,389341,185103.0,204238.0
3167,2010年度,27-204,大阪府,池田市,104229,50721.0,53508.0
3168,2010年度,27-205,大阪府,吹田市,355798,171769.0,184029.0
3169,2010年度,27-206,大阪府,泉大津市,77548,36972.0,40576.0
3170,2010年度,27-207,大阪府,高槻市,357359,171927.0,185432.0
3171,2010年度,27-208,大阪府,貝塚市,90519,43665.0,46854.0
3172,2010年度,27-209,大阪府,守口市,146697,71272.0,75425.0
3173,2010年度,27-210,大阪府,枚方市,407978,195570.0,212408.0
3174,2010年度,27-211,大阪府,茨木市,274822,133621.0,141201.0
3175,2010年度,27-212,大阪府,八尾市,271460,131121.0,140339.0
3176,2010年度,27-213,大阪府,泉佐野市,100801,48161.0,52640.0
3177,2010年度,27-214,大阪府,富田林市,119576,56778.0,62798.0
3178,2010年度,27-215,大阪府,寝屋川市,238204,116132.0,122072.0
3179,2010年度,27-216,大阪府,河内長野市,112490,52964.0,59526.0
3180,2010年度,27-217,大阪府,松原市,124594,60017.0,64577.0
3181,2010年度,27-218,大阪府,大東市,127534,63810.0,63724.0
3182,2010年度,27-219,大阪府,和泉市,184988,89613.0,95375.0
3183,2010年度,27-220,大阪府,箕面市,129895,62468.0,67427.0
3184,2010年度,27-221,大阪府,柏原市,74773,35854.0,38919.0
3185,2010年度,27-222,大阪府,羽曳野市,117681,55737.0,61944.0
3186,2010年度,27-223,大阪府,門真市,130282,64423.0,65859.0
3187,2010年度,27-224,大阪府,摂津市,83720,42230.0,41490.0
3188,2010年度,27-225,大阪府,高石市,59572,28430.0,31142.0
3189,2010年度,27-226,大阪府,藤井寺市,66165,31306.0,34859.0
3190,2010年度,27-227,大阪府,東大阪市,509533,249964.0,259569.0
3191,2010年度,27-228,大阪府,泉南市,64403,30915.0,33488.0
3192,2010年度,27-229,大阪府,四條畷市,57554,28138.0,29416.0
3193,2010年度,27-230,大阪府,交野市,77686,37442.0,40244.0
3194,2010年度,27-231,大阪府,大阪狭山市,58227,27534.0,30693.0
3195,2010年度,27-232,大阪府,阪南市,56646,27022.0,29624.0
3196,2010年度,27-301,大阪府,島本町,28935,13846.0,15089.0
3197,2010年度,27-321,大阪府,豊能町,21989,10439.0,11550.0
3198,2010年度,27-322,大阪府,能勢町,11650,5556.0,6094.0
3199,2010年度,27-341,大阪府,忠岡町,18149,8729.0,9420.0
3200,2010年度,27-361,大阪府,熊取町,45069,21992.0,23077.0
3201,2010年度,27-362,大阪府,田尻町,8085,3951.0,4134.0
3202,2010年度,27-366,大阪府,岬町,17504,8057.0,9447.0
3203,2010年度,27-381,大阪府,太子町,14220,6916.0,7304.0
3204,2010年度,27-382,大阪府,河南町,17040,8292.0,8748.0
3205,2010年度,27-383,大阪府,千早赤阪村,6015,2825.0,3190.0
3206,2010年度,28-100,兵庫県,神戸市,1544200,731114.0,813086.0
3216,2010年度,28-201,兵庫県,姫路市,536270,259320.0,276950.0
3217,2010年度,28-202,兵庫県,尼崎市,453748,221216.0,232532.0
3218,2010年度,28-203,兵庫県,明石市,290959,141344.0,149615.0
3219,2010年度,28-204,兵庫県,西宮市,482640,227660.0,254980.0
3220,2010年度,28-205,兵庫県,洲本市,47254,22449.0,24805.0
3221,2010年度,28-206,兵庫県,芦屋市,93238,42385.0,50853.0
3222,2010年度,28-207,兵庫県,伊丹市,196127,95665.0,100462.0
3223,2010年度,28-208,兵庫県,相生市,31158,14972.0,16186.0
3224,2010年度,28-209,兵庫県,豊岡市,85592,40791.0,44801.0
3225,2010年度,28-210,兵庫県,加古川市,266937,130931.0,136006.0
3226,2010年度,28-212,兵庫県,赤穂市,50523,24183.0,26340.0
3227,2010年度,28-213,兵庫県,西脇市,42802,20555.0,22247.0
3228,2010年度,28-214,兵庫県,宝塚市,225700,105289.0,120411.0
3229,2010年度,28-215,兵庫県,三木市,81009,38862.0,42147.0
3230,2010年度,28-216,兵庫県,高砂市,93901,45903.0,47998.0
3231,2010年度,28-217,兵庫県,川西市,156423,73930.0,82493.0
3232,2010年度,28-218,兵庫県,小野市,49680,24148.0,25532.0
3233,2010年度,28-219,兵庫県,三田市,114216,55175.0,59041.0
3234,2010年度,28-220,兵庫県,加西市,47993,23392.0,24601.0
3235,2010年度,28-221,兵庫県,篠山市,43263,20616.0,22647.0
3236,2010年度,28-222,兵庫県,養父市,26501,12699.0,13802.0
3237,2010年度,28-223,兵庫県,丹波市,67757,32138.0,35619.0
3238,2010年度,28-224,兵庫県,南あわじ市,49834,23809.0,26025.0
3239,2010年度,28-225,兵庫県,朝来市,32814,15727.0,17087.0
3240,2010年度,28-226,兵庫県,淡路市,46459,22016.0,24443.0
3241,2010年度,28-227,兵庫県,宍粟市,40938,19333.0,21605.0
3242,2010年度,28-228,兵庫県,加東市,40181,19738.0,20443.0
3243,2010年度,28-229,兵庫県,たつの市,80518,38727.0,41791.0
3244,2010年度,28-301,兵庫県,猪名川町,31739,14997.0,16742.0
3245,2010年度,28-365,兵庫県,多可町,23104,11128.0,11976.0
