,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
7530,2000年度,43-510,熊本県,相良村,5526,2560.0,2966.0
7531,2000年度,43-511,熊本県,五木村,1530,734.0,796.0
7532,2000年度,43-512,熊本県,山江村,4104,1902.0,2202.0
7533,2000年度,43-513,熊本県,球磨村,5201,2405.0,2796.0
7534,2000年度,43-514,熊本県,あさぎり町,17751,8361.0,9390.0
7535,2000年度,43-531,熊本県,苓北町,9436,4575.0,4861.0
7536,2000年度,44-201,大分県,大分市,454424,219378.0,235046.0
7537,2000年度,44-202,大分県,別府市,126523,56905.0,69618.0
7538,2000年度,44-203,大分県,中津市,85617,39973.0,45644.0
7539,2000年度,44-204,大分県,日田市,77369,36421.0,40948.0
7540,2000年度,44-205,大分県,佐伯市,84449,38827.0,45622.0
7541,2000年度,44-206,大分県,臼杵市,45486,21271.0,24215.0
7542,2000年度,44-207,大分県,津久見市,23164,10948.0,12216.0
7543,2000年度,44-208,大分県,竹田市,28689,13501.0,15188.0
7544,2000年度,44-209,大分県,豊後高田市,26206,12161.0,14045.0
7545,2000年度,44-210,大分県,杵築市,33363,15903.0,17460.0
7546,2000年度,44-211,大分県,宇佐市,62349,28957.0,33392.0
7547,2000年度,44-212,大分県,豊後大野市,43371,20202.0,23169.0
7548,2000年度,44-213,大分県,由布市,35248,16637.0,18611.0
7549,2000年度,44-214,大分県,国東市,35425,16576.0,18849.0
7550,2000年度,44-322,大分県,姫島村,2761,1293.0,1468.0
7551,2000年度,44-341,大分県,日出町,26142,12488.0,13654.0
7552,2000年度,44-461,大分県,九重町,11566,5460.0,6106.0
7553,2000年度,44-462,大分県,玖珠町,18988,9084.0,9904.0
7554,2000年度,45-201,宮崎県,宮崎市,392178,185404.0,206774.0
7555,2000年度,45-202,宮崎県,都城市,171812,80976.0,90836.0
7556,2000年度,45-203,宮崎県,延岡市,139176,65449.0,73727.0
7557,2000年度,45-204,宮崎県,日南市,63421,29591.0,33830.0
7558,2000年度,45-205,宮崎県,小林市,51697,24337.0,27360.0
7559,2000年度,45-206,宮崎県,日向市,64186,30181.0,34005.0
7560,2000年度,45-207,宮崎県,串間市,23647,10913.0,12734.0
7561,2000年度,45-208,宮崎県,西都市,35381,16694.0,18687.0
7562,2000年度,45-209,宮崎県,えびの市,24906,11692.0,13214.0
7563,2000年度,45-341,宮崎県,三股町,24056,11351.0,12705.0
7564,2000年度,45-361,宮崎県,高原町,11254,5361.0,5893.0
7565,2000年度,45-382,宮崎県,国富町,22367,10569.0,11798.0
7566,2000年度,45-383,宮崎県,綾町,7596,3567.0,4029.0
7567,2000年度,45-401,宮崎県,高鍋町,22748,11032.0,11716.0
7568,2000年度,45-402,宮崎県,新富町,19058,9416.0,9642.0
7569,2000年度,45-403,宮崎県,西米良村,1480,708.0,772.0
7570,2000年度,45-404,宮崎県,木城町,5759,2819.0,2940.0
7571,2000年度,45-405,宮崎県,川南町,17630,8265.0,9365.0
7572,2000年度,45-406,宮崎県,都農町,12321,5757.0,6564.0
7573,2000年度,45-421,宮崎県,門川町,19287,9098.0,10189.0
7574,2000年度,45-429,宮崎県,諸塚村,2402,1148.0,1254.0
7575,2000年度,45-430,宮崎県,椎葉村,3769,1841.0,1928.0
7576,2000年度,45-431,宮崎県,美郷町,7509,3555.0,3954.0
7577,2000年度,45-441,宮崎県,高千穂町,15843,7446.0,8397.0
7578,2000年度,45-442,宮崎県,日之影町,5445,2549.0,2896.0
7579,2000年度,45-443,宮崎県,五ヶ瀬町,5079,2441.0,2638.0
7580,2000年度,46-201,鹿児島県,鹿児島市,601693,281611.0,320082.0
7581,2000年度,46-203,鹿児島県,鹿屋市,106462,50731.0,55731.0
7582,2000年度,46-204,鹿児島県,枕崎市,26317,11980.0,14337.0
7583,2000年度,46-206,鹿児島県,阿久根市,26270,12102.0,14168.0
7584,2000年度,46-208,鹿児島県,出水市,58460,27309.0,31151.0
7585,2000年度,46-210,鹿児島県,指宿市,48750,22122.0,26628.0
7586,2000年度,46-213,鹿児島県,西之表市,18866,8898.0,9968.0
7587,2000年度,46-214,鹿児島県,垂水市,20107,9216.0,10891.0
7588,2000年度,46-215,鹿児島県,薩摩川内市,105464,49861.0,55603.0
7589,2000年度,46-216,鹿児島県,日置市,53391,24736.0,28655.0
7590,2000年度,46-217,鹿児島県,曽於市,44910,21146.0,23764.0
7591,2000年度,46-218,鹿児島県,霧島市,127912,62713.0,65199.0
7592,2000年度,46-219,鹿児島県,いちき串木野市,34266,15747.0,18519.0
7593,2000年度,46-220,鹿児島県,南さつま市,43979,19645.0,24334.0
7594,2000年度,46-221,鹿児島県,志布志市,35966,16806.0,19160.0
7595,2000年度,46-222,鹿児島県,奄美市,51898,24206.0,27692.0
7596,2000年度,46-223,鹿児島県,南九州市,44137,20211.0,23926.0
7597,2000年度,46-224,鹿児島県,伊佐市,33508,15373.0,18135.0
7598,2000年度,46-225,鹿児島県,姶良市,73640,34311.0,39329.0
7599,2000年度,46-303,鹿児島県,三島村,500,268.0,232.0
7600,2000年度,46-304,鹿児島県,十島村,756,401.0,355.0
7601,2000年度,46-392,鹿児島県,さつま町,27331,12662.0,14669.0
7602,2000年度,46-404,鹿児島県,長島町,12552,5998.0,6554.0
7603,2000年度,46-452,鹿児島県,湧水町,13237,6393.0,6844.0
7604,2000年度,46-468,鹿児島県,大崎町,16018,7597.0,8421.0
7605,2000年度,46-482,鹿児島県,東串良町,7530,3454.0,4076.0
7606,2000年度,46-490,鹿児島県,錦江町,10889,5045.0,5844.0
7607,2000年度,46-491,鹿児島県,南大隅町,10741,4935.0,5806.0
7608,2000年度,46-492,鹿児島県,肝付町,19523,9173.0,10350.0
7609,2000年度,46-501,鹿児島県,中種子町,9675,4574.0,5101.0
7610,2000年度,46-502,鹿児島県,南種子町,7154,3484.0,3670.0
7611,2000年度,46-505,鹿児島県,屋久島町,13875,6805.0,7070.0
7612,2000年度,46-523,鹿児島県,大和村,2104,996.0,1108.0
7613,2000年度,46-524,鹿児島県,宇検村,2243,1067.0,1176.0
7614,2000年度,46-525,鹿児島県,瀬戸内町,11649,5539.0,6110.0
7615,2000年度,46-527,鹿児島県,龍郷町,6002,2813.0,3189.0
7616,2000年度,46-529,鹿児島県,喜界町,9041,4118.0,4923.0
7617,2000年度,46-530,鹿児島県,徳之島町,13127,6377.0,6750.0
7618,2000年度,46-531,鹿児島県,天城町,7212,3512.0,3700.0
7619,2000年度,46-532,鹿児島県,伊仙町,7769,3787.0,3982.0
7620,2000年度,46-533,鹿児島県,和泊町,7736,3725.0,4011.0
7621,2000年度,46-534,鹿児島県,知名町,7435,3599.0,3836.0
7622,2000年度,46-535,鹿児島県,与論町,6099,2933.0,3166.0
7623,2000年度,47-201,沖縄県,那覇市,301032,144943.0,156089.0
7624,2000年度,47-205,沖縄県,宜野湾市,86744,42728.0,44016.0
7625,2000年度,47-207,沖縄県,石垣市,43302,21561.0,21741.0
7626,2000年度,47-208,沖縄県,浦添市,102734,50440.0,52294.0
7627,2000年度,47-209,沖縄県,名護市,56606,28340.0,28266.0
7628,2000年度,47-210,沖縄県,糸満市,54974,27376.0,27598.0
7629,2000年度,47-211,沖縄県,沖縄市,119686,57766.0,61920.0
7630,2000年度,47-212,沖縄県,豊見城市,50198,24492.0,25706.0
7631,2000年度,47-213,沖縄県,うるま市,109992,54821.0,55171.0
7632,2000年度,47-214,沖縄県,宮古島市,54249,26797.0,27452.0
7633,2000年度,47-215,沖縄県,南城市,39130,19605.0,19525.0
7634,2000年度,47-301,沖縄県,国頭村,5825,2900.0,2925.0
7635,2000年度,47-302,沖縄県,大宜味村,3281,1603.0,1678.0
7636,2000年度,47-303,沖縄県,東村,1867,1022.0,845.0
7637,2000年度,47-306,沖縄県,今帰仁村,9492,4726.0,4766.0
7638,2000年度,47-308,沖縄県,本部町,14522,7266.0,7256.0
7639,2000年度,47-311,沖縄県,恩納村,9064,4545.0,4519.0
7640,2000年度,47-313,沖縄県,宜野座村,4749,2376.0,2373.0
7641,2000年度,47-314,沖縄県,金武町,10106,4933.0,5173.0
7642,2000年度,47-315,沖縄県,伊江村,5112,2574.0,2538.0
7643,2000年度,47-324,沖縄県,読谷村,36115,17953.0,18162.0
7644,2000年度,47-325,沖縄県,嘉手納町,13661,6669.0,6992.0
7645,2000年度,47-326,沖縄県,北谷町,25554,12340.0,13214.0
7646,2000年度,47-327,沖縄県,北中城村,15745,7475.0,8270.0
7647,2000年度,47-328,沖縄県,中城村,14987,7653.0,7334.0
7648,2000年度,47-329,沖縄県,西原町,32777,16508.0,16269.0
7649,2000年度,47-348,沖縄県,与那原町,15109,7316.0,7793.0
7650,2000年度,47-350,沖縄県,南風原町,32099,15917.0,16182.0
7651,2000年度,47-353,沖縄県,渡嘉敷村,730,368.0,362.0
7652,2000年度,47-354,沖縄県,座間味村,1026,527.0,499.0
7653,2000年度,47-355,沖縄県,粟国村,960,509.0,451.0
7654,2000年度,47-356,沖縄県,渡名喜村,523,308.0,215.0
7655,2000年度,47-357,沖縄県,南大東村,1445,835.0,610.0
7656,2000年度,47-358,沖縄県,北大東村,671,419.0,252.0
7657,2000年度,47-359,沖縄県,伊平屋村,1530,802.0,728.0
7658,2000年度,47-360,沖縄県,伊是名村,1897,969.0,928.0
7659,2000年度,47-361,沖縄県,久米島町,9359,4834.0,4525.0
7660,2000年度,47-362,沖縄県,八重瀬町,24626,12154.0,12472.0
7661,2000年度,47-375,沖縄県,多良間村,1338,739.0,599.0
7662,2000年度,47-381,沖縄県,竹富町,3551,1811.0,1740.0
7663,2000年度,47-382,沖縄県,与那国町,1852,957.0,895.0
7664,1995年度,01-100,北海道,札幌市,1757025,,
7675,1995年度,01-202,北海道,函館市,318308,,
7676,1995年度,01-203,北海道,小樽市,157022,,
7677,1995年度,01-204,北海道,旭川市,360568,,
7678,1995年度,01-205,北海道,室蘭市,109766,,
7679,1995年度,01-206,北海道,釧路市,209680,,
7680,1995年度,01-207,北海道,帯広市,171715,,
7681,1995年度,01-208,北海道,北見市,131544,,
7682,1995年度,01-209,北海道,夕張市,17116,,
7683,1995年度,01-210,北海道,岩見沢市,97042,,
7684,1995年度,01-211,北海道,網走市,44176,,
7685,1995年度,01-212,北海道,留萌市,30060,,
7686,1995年度,01-213,北海道,苫小牧市,169328,,
7687,1995年度,01-214,北海道,稚内市,45754,,
7688,1995年度,01-215,北海道,美唄市,33434,,
7689,1995年度,01-216,北海道,芦別市,22931,,
7690,1995年度,01-217,北海道,江別市,115495,,
7691,1995年度,01-218,北海道,赤平市,17351,,
7692,1995年度,01-219,北海道,紋別市,30137,,
7693,1995年度,01-220,北海道,士別市,26403,,
7694,1995年度,01-221,北海道,名寄市,34664,,
7695,1995年度,01-222,北海道,三笠市,15116,,
7696,1995年度,01-223,北海道,根室市,34934,,
7697,1995年度,01-224,北海道,千歳市,84866,,
7698,1995年度,01-225,北海道,滝川市,48425,,
7699,1995年度,01-226,北海道,砂川市,21722,,
7700,1995年度,01-227,北海道,歌志内市,6867,,
7701,1995年度,01-228,北海道,深川市,28770,,
7702,1995年度,01-229,北海道,富良野市,26046,,
7703,1995年度,01-230,北海道,登別市,56892,,
7704,1995年度,01-231,北海道,恵庭市,62351,,
7705,1995年度,01-233,北海道,伊達市,36647,,
7706,1995年度,01-234,北海道,北広島市,53537,,
7707,1995年度,01-235,北海道,石狩市,57706,,
7708,1995年度,01-236,北海道,北斗市,43177,,
7709,1995年度,01-303,北海道,当別町,19672,,
7710,1995年度,01-304,北海道,新篠津村,3994,,
7711,1995年度,01-331,北海道,松前町,12151,,
7712,1995年度,01-332,北海道,福島町,7430,,
7713,1995年度,01-333,北海道,知内町,6150,,
7714,1995年度,01-334,北海道,木古内町,7171,,
7715,1995年度,01-337,北海道,七飯町,27040,,
7716,1995年度,01-343,北海道,鹿部町,4822,,
7717,1995年度,01-345,北海道,森町,21006,,
7718,1995年度,01-346,北海道,八雲町,22315,,
7719,1995年度,01-347,北海道,長万部町,8807,,
7720,1995年度,01-361,北海道,江差町,11301,,
7721,1995年度,01-362,北海道,上ノ国町,7292,,
7722,1995年度,01-363,北海道,厚沢部町,5385,,
7723,1995年度,01-364,北海道,乙部町,5422,,
7724,1995年度,01-367,北海道,奥尻町,4301,,
7725,1995年度,01-370,北海道,今金町,7214,,
7726,1995年度,01-371,北海道,せたな町,12446,,
7727,1995年度,01-391,北海道,島牧村,2301,,
7728,1995年度,01-392,北海道,寿都町,4405,,
7729,1995年度,01-393,北海道,黒松内町,3875,,
7730,1995年度,01-394,北海道,蘭越町,6450,,
7731,1995年度,01-395,北海道,ニセコ町,4641,,
7732,1995年度,01-396,北海道,真狩村,2649,,
7733,1995年度,01-397,北海道,留寿都村,2388,,
7734,1995年度,01-398,北海道,喜茂別町,3029,,
7735,1995年度,01-399,北海道,京極町,3489,,
7736,1995年度,01-400,北海道,倶知安町,17078,,
7737,1995年度,01-401,北海道,共和町,7430,,
7738,1995年度,01-402,北海道,岩内町,17895,,
7739,1995年度,01-403,北海道,泊村,2128,,
7740,1995年度,01-404,北海道,神恵内村,1481,,
7741,1995年度,01-405,北海道,積丹町,3648,,
7742,1995年度,01-406,北海道,古平町,4654,,
7743,1995年度,01-407,北海道,仁木町,4293,,
7744,1995年度,01-408,北海道,余市町,24485,,
7745,1995年度,01-409,北海道,赤井川村,1552,,
7746,1995年度,01-423,北海道,南幌町,9020,,
7747,1995年度,01-424,北海道,奈井江町,7667,,
7748,1995年度,01-425,北海道,上砂川町,5852,,
7749,1995年度,01-427,北海道,由仁町,7250,,
7750,1995年度,01-428,北海道,長沼町,12293,,
7751,1995年度,01-429,北海道,栗山町,15604,,
7752,1995年度,01-430,北海道,月形町,5310,,
7753,1995年度,01-431,北海道,浦臼町,2854,,
7754,1995年度,01-432,北海道,新十津川町,8363,,
7755,1995年度,01-433,北海道,妹背牛町,4508,,
7756,1995年度,01-434,北海道,秩父別町,3544,,
7757,1995年度,01-436,北海道,雨竜町,3825,,
7758,1995年度,01-437,北海道,北竜町,2785,,
7759,1995年度,01-438,北海道,沼田町,4745,,
7760,1995年度,01-452,北海道,鷹栖町,6871,,
7761,1995年度,01-453,北海道,東神楽町,7676,,
7762,1995年度,01-454,北海道,当麻町,7893,,
7763,1995年度,01-455,北海道,比布町,4683,,
7764,1995年度,01-456,北海道,愛別町,4322,,
7765,1995年度,01-457,北海道,上川町,6285,,
7766,1995年度,01-458,北海道,東川町,7211,,
7767,1995年度,01-459,北海道,美瑛町,12106,,
7768,1995年度,01-460,北海道,上富良野町,12881,,
7769,1995年度,01-461,北海道,中富良野町,5931,,
7770,1995年度,01-462,北海道,南富良野町,3331,,
7771,1995年度,01-463,北海道,占冠村,2104,,
7772,1995年度,01-464,北海道,和寒町,5002,,
7773,1995年度,01-465,北海道,剣淵町,4466,,
7774,1995年度,01-468,北海道,下川町,4747,,
7775,1995年度,01-469,北海道,美深町,6540,,
7776,1995年度,01-470,北海道,音威子府村,1480,,
7777,1995年度,01-471,北海道,中川町,2602,,
7778,1995年度,01-472,北海道,幌加内町,2414,,
7779,1995年度,01-481,北海道,増毛町,6652,,
7780,1995年度,01-482,北海道,小平町,4855,,
7781,1995年度,01-483,北海道,苫前町,4868,,
7782,1995年度,01-484,北海道,羽幌町,10102,,
7783,1995年度,01-485,北海道,初山別村,1928,,
7784,1995年度,01-486,北海道,遠別町,3912,,
7785,1995年度,01-487,北海道,天塩町,4931,,
7786,1995年度,01-511,北海道,猿払村,3121,,
7787,1995年度,01-512,北海道,浜頓別町,5224,,
7788,1995年度,01-513,北海道,中頓別町,2754,,
7789,1995年度,01-514,北海道,枝幸町,11144,,
7790,1995年度,01-516,北海道,豊富町,5504,,
7791,1995年度,01-517,北海道,礼文町,4375,,
7792,1995年度,01-518,北海道,利尻町,4104,,
7793,1995年度,01-519,北海道,利尻富士町,4398,,
7794,1995年度,01-520,北海道,幌延町,3095,,
7795,1995年度,01-543,北海道,美幌町,24716,,
7796,1995年度,01-544,北海道,津別町,7380,,
7797,1995年度,01-545,北海道,斜里町,14634,,
7798,1995年度,01-546,北海道,清里町,5705,,
7799,1995年度,01-547,北海道,小清水町,6422,,
7800,1995年度,01-549,北海道,訓子府町,6736,,
7801,1995年度,01-550,北海道,置戸町,4451,,
7802,1995年度,01-552,北海道,佐呂間町,7252,,
7803,1995年度,01-555,北海道,遠軽町,25769,,
7804,1995年度,01-559,北海道,湧別町,12042,,
7805,1995年度,01-560,北海道,滝上町,4084,,
7806,1995年度,01-561,北海道,興部町,5277,,
7807,1995年度,01-562,北海道,西興部村,1253,,
7808,1995年度,01-563,北海道,雄武町,5976,,
7809,1995年度,01-564,北海道,大空町,8992,,
7810,1995年度,01-571,北海道,豊浦町,6121,,
7811,1995年度,01-575,北海道,壮瞥町,3866,,
7812,1995年度,01-578,北海道,白老町,22414,,
7813,1995年度,01-581,北海道,厚真町,5734,,
7814,1995年度,01-584,北海道,洞爺湖町,12805,,
7815,1995年度,01-585,北海道,安平町,9484,,
7816,1995年度,01-586,北海道,むかわ町,11967,,
7817,1995年度,01-601,北海道,日高町,16556,,
7818,1995年度,01-602,北海道,平取町,6883,,
7819,1995年度,01-604,北海道,新冠町,6478,,
7820,1995年度,01-607,北海道,浦河町,17186,,
7821,1995年度,01-608,北海道,様似町,6686,,
7822,1995年度,01-609,北海道,えりも町,6811,,
7823,1995年度,01-610,北海道,新ひだか町,29337,,
7824,1995年度,01-631,北海道,音更町,37528,,
7825,1995年度,01-632,北海道,士幌町,7010,,
7826,1995年度,01-633,北海道,上士幌町,5936,,
7827,1995年度,01-634,北海道,鹿追町,6089,,
7828,1995年度,01-635,北海道,新得町,7822,,
7829,1995年度,01-636,北海道,清水町,11325,,
7830,1995年度,01-637,北海道,芽室町,16604,,
7831,1995年度,01-638,北海道,中札内村,4319,,
7832,1995年度,01-639,北海道,更別村,3350,,
7833,1995年度,01-641,北海道,大樹町,7075,,
7834,1995年度,01-642,北海道,広尾町,9593,,
7835,1995年度,01-643,北海道,幕別町,24240,,
7836,1995年度,01-644,北海道,池田町,9093,,
7837,1995年度,01-645,北海道,豊頃町,4519,,
7838,1995年度,01-646,北海道,本別町,10336,,
7839,1995年度,01-647,北海道,足寄町,9522,,
7840,1995年度,01-648,北海道,陸別町,3429,,
7841,1995年度,01-649,北海道,浦幌町,7621,,
7842,1995年度,01-661,北海道,釧路町,21986,,
7843,1995年度,01-662,北海道,厚岸町,13076,,
7844,1995年度,01-663,北海道,浜中町,7866,,
7845,1995年度,01-664,北海道,標茶町,10015,,
7846,1995年度,01-665,北海道,弟子屈町,9954,,
7847,1995年度,01-667,北海道,鶴居村,2759,,
7848,1995年度,01-668,北海道,白糠町,12307,,
7849,1995年度,01-691,北海道,別海町,17549,,
7850,1995年度,01-692,北海道,中標津町,22326,,
7851,1995年度,01-693,北海道,標津町,7087,,
7852,1995年度,01-694,北海道,羅臼町,7471,,
7853,1995年度,02-201,青森県,青森市,314917,,
7854,1995年度,02-202,青森県,弘前市,194197,,
7855,1995年度,02-203,青森県,八戸市,249358,,
7856,1995年度,02-204,青森県,黒石市,39004,,
7857,1995年度,02-205,青森県,五所川原市,63383,,
7858,1995年度,02-206,青森県,十和田市,69146,,
7859,1995年度,02-207,青森県,三沢市,41605,,
7860,1995年度,02-208,青森県,むつ市,67969,,
7861,1995年度,02-209,青森県,つがる市,42384,,
7862,1995年度,02-210,青森県,平川市,36876,,
7863,1995年度,02-301,青森県,平内町,15441,,
7864,1995年度,02-303,青森県,今別町,4737,,
7865,1995年度,02-304,青森県,蓬田村,3786,,
7866,1995年度,02-307,青森県,外ヶ浜町,9813,,
7867,1995年度,02-321,青森県,鰺ヶ沢町,14077,,
7868,1995年度,02-323,青森県,深浦町,12546,,
7869,1995年度,02-343,青森県,西目屋村,2138,,
7870,1995年度,02-361,青森県,藤崎町,16940,,
7871,1995年度,02-362,青森県,大鰐町,13990,,
7872,1995年度,02-367,青森県,田舎館村,9151,,
7873,1995年度,02-381,青森県,板柳町,17320,,
7874,1995年度,02-384,青森県,鶴田町,16126,,
7875,1995年度,02-387,青森県,中泊町,15998,,
7876,1995年度,02-401,青森県,野辺地町,15969,,
7877,1995年度,02-402,青森県,七戸町,20209,,
7878,1995年度,02-405,青森県,六戸町,10523,,
7879,1995年度,02-406,青森県,横浜町,5806,,
7880,1995年度,02-408,青森県,東北町,21270,,
7881,1995年度,02-411,青森県,六ヶ所村,11063,,
7882,1995年度,02-412,青森県,おいらせ町,21031,,
7883,1995年度,02-423,青森県,大間町,6606,,
7884,1995年度,02-424,青森県,東通村,8045,,
7885,1995年度,02-425,青森県,風間浦村,3012,,
7886,1995年度,02-426,青森県,佐井村,3173,,
7887,1995年度,02-441,青森県,三戸町,13740,,
7888,1995年度,02-442,青森県,五戸町,21666,,
7889,1995年度,02-443,青森県,田子町,7681,,
7890,1995年度,02-445,青森県,南部町,23041,,
7891,1995年度,02-446,青森県,階上町,14428,,
7892,1995年度,02-450,青森県,新郷村,3498,,
7893,1995年度,03-201,岩手県,盛岡市,300723,,
7894,1995年度,03-202,岩手県,宮古市,69587,,
7895,1995年度,03-203,岩手県,大船渡市,46277,,
7896,1995年度,03-205,岩手県,花巻市,107112,,
7897,1995年度,03-206,岩手県,北上市,87969,,
7898,1995年度,03-207,岩手県,久慈市,41225,,
7899,1995年度,03-208,岩手県,遠野市,33898,,
7900,1995年度,03-209,岩手県,一関市,143974,,
7901,1995年度,03-210,岩手県,陸前高田市,26129,,
7902,1995年度,03-211,岩手県,釜石市,49447,,
7903,1995年度,03-213,岩手県,二戸市,33755,,
7904,1995年度,03-214,岩手県,八幡平市,32751,,
7905,1995年度,03-215,岩手県,奥州市,133228,,
7906,1995年度,03-216,岩手県,滝沢市,44189,,
7907,1995年度,03-301,岩手県,雫石町,19373,,
7908,1995年度,03-302,岩手県,葛巻町,9536,,
7909,1995年度,03-303,岩手県,岩手町,18264,,
7910,1995年度,03-321,岩手県,紫波町,31311,,
7911,1995年度,03-322,岩手県,矢巾町,21919,,
7912,1995年度,03-366,岩手県,西和賀町,8594,,
7913,1995年度,03-381,岩手県,金ケ崎町,15923,,
7914,1995年度,03-402,岩手県,平泉町,9288,,
7915,1995年度,03-441,岩手県,住田町,7783,,
7916,1995年度,03-461,岩手県,大槌町,18301,,
7917,1995年度,03-482,岩手県,山田町,22019,,
7918,1995年度,03-483,岩手県,岩泉町,13879,,
7919,1995年度,03-484,岩手県,田野畑村,4806,,
7920,1995年度,03-485,岩手県,普代村,3796,,
7921,1995年度,03-501,岩手県,軽米町,12290,,
7922,1995年度,03-503,岩手県,野田村,5204,,
7923,1995年度,03-506,岩手県,九戸村,7727,,
7924,1995年度,03-507,岩手県,洋野町,21322,,
7925,1995年度,03-524,岩手県,一戸町,17906,,
7926,1995年度,04-100,宮城県,仙台市,971297,,
7932,1995年度,04-202,宮城県,石巻市,178923,,
7933,1995年度,04-203,宮城県,塩竈市,63566,,
7934,1995年度,04-205,宮城県,気仙沼市,84848,,
7935,1995年度,04-206,宮城県,白石市,41852,,
7936,1995年度,04-207,宮城県,名取市,61993,,
7937,1995年度,04-208,宮城県,角田市,35316,,
7938,1995年度,04-209,宮城県,多賀城市,60625,,
7939,1995年度,04-211,宮城県,岩沼市,40072,,
7940,1995年度,04-212,宮城県,登米市,96832,,
7941,1995年度,04-213,宮城県,栗原市,88552,,
7942,1995年度,04-214,宮城県,東松島市,42778,,
7943,1995年度,04-215,宮城県,大崎市,138068,,
7944,1995年度,04-216,宮城県,富谷市,30224,,
7945,1995年度,04-301,宮城県,蔵王町,13915,,
7946,1995年度,04-302,宮城県,七ヶ宿町,2174,,
7947,1995年度,04-321,宮城県,大河原町,21995,,
7948,1995年度,04-322,宮城県,村田町,13539,,
7949,1995年度,04-323,宮城県,柴田町,38749,,
7950,1995年度,04-324,宮城県,川崎町,10829,,
7951,1995年度,04-341,宮城県,丸森町,18941,,
7952,1995年度,04-361,宮城県,亘理町,33034,,
7953,1995年度,04-362,宮城県,山元町,18815,,
7954,1995年度,04-401,宮城県,松島町,17344,,
7955,1995年度,04-404,宮城県,七ヶ浜町,20668,,
7956,1995年度,04-406,宮城県,利府町,25135,,
7957,1995年度,04-421,宮城県,大和町,22856,,
7958,1995年度,04-422,宮城県,大郷町,10220,,
7959,1995年度,04-424,宮城県,大衡村,6028,,
7960,1995年度,04-444,宮城県,色麻町,8463,,
7961,1995年度,04-445,宮城県,加美町,29466,,
7962,1995年度,04-501,宮城県,涌谷町,20170,,
7963,1995年度,04-505,宮城県,美里町,27980,,
7964,1995年度,04-581,宮城県,女川町,13044,,
7965,1995年度,04-606,宮城県,南三陸町,20428,,
7966,1995年度,05-201,秋田県,秋田市,331597,,
7967,1995年度,05-202,秋田県,能代市,67816,,
7968,1995年度,05-203,秋田県,横手市,112600,,
7969,1995年度,05-204,秋田県,大館市,88231,,
7970,1995年度,05-206,秋田県,男鹿市,40517,,
7971,1995年度,05-207,秋田県,湯沢市,61169,,
7972,1995年度,05-209,秋田県,鹿角市,41184,,
7973,1995年度,05-210,秋田県,由利本荘市,94410,,
7974,1995年度,05-211,秋田県,潟上市,34660,,
7975,1995年度,05-212,秋田県,大仙市,100879,,
7976,1995年度,05-213,秋田県,北秋田市,44794,,
7977,1995年度,05-214,秋田県,にかほ市,31336,,
7978,1995年度,05-215,秋田県,仙北市,34945,,
7979,1995年度,05-303,秋田県,小坂町,7703,,
7980,1995年度,05-327,秋田県,上小阿仁村,3553,,
7981,1995年度,05-346,秋田県,藤里町,5024,,
7982,1995年度,05-348,秋田県,三種町,23346,,
7983,1995年度,05-349,秋田県,八峰町,10138,,
7984,1995年度,05-361,秋田県,五城目町,13371,,
7985,1995年度,05-363,秋田県,八郎潟町,7768,,
7986,1995年度,05-366,秋田県,井川町,6208,,
7987,1995年度,05-368,秋田県,大潟村,3311,,
7988,1995年度,05-434,秋田県,美郷町,25232,,
7989,1995年度,05-463,秋田県,羽後町,20307,,
7990,1995年度,05-464,秋田県,東成瀬村,3568,,
7991,1995年度,06-201,山形県,山形市,254488,,
7992,1995年度,06-202,山形県,米沢市,95592,,
7993,1995年度,06-203,山形県,鶴岡市,149509,,
7994,1995年度,06-204,山形県,酒田市,122536,,
7995,1995年度,06-205,山形県,新庄市,42896,,
7996,1995年度,06-206,山形県,寒河江市,42805,,
7997,1995年度,06-207,山形県,上山市,38047,,
7998,1995年度,06-208,山形県,村山市,30506,,
7999,1995年度,06-209,山形県,長井市,32727,,
8000,1995年度,06-210,山形県,天童市,60626,,
8001,1995年度,06-211,山形県,東根市,43208,,
8002,1995年度,06-212,山形県,尾花沢市,23127,,
8003,1995年度,06-213,山形県,南陽市,36810,,
8004,1995年度,06-301,山形県,山辺町,15357,,
8005,1995年度,06-302,山形県,中山町,12390,,
8006,1995年度,06-321,山形県,河北町,21930,,
8007,1995年度,06-322,山形県,西川町,8208,,
8008,1995年度,06-323,山形県,朝日町,9819,,
8009,1995年度,06-324,山形県,大江町,10537,,
8010,1995年度,06-341,山形県,大石田町,9949,,
8011,1995年度,06-361,山形県,金山町,7665,,
8012,1995年度,06-362,山形県,最上町,12174,,
8013,1995年度,06-363,山形県,舟形町,7546,,
8014,1995年度,06-364,山形県,真室川町,11571,,
8015,1995年度,06-365,山形県,大蔵村,4863,,
8016,1995年度,06-366,山形県,鮭川村,6092,,
8017,1995年度,06-367,山形県,戸沢村,6959,,
8018,1995年度,06-381,山形県,高畠町,26964,,
8019,1995年度,06-382,山形県,川西町,20764,,
8020,1995年度,06-401,山形県,小国町,10715,,
8021,1995年度,06-402,山形県,白鷹町,17706,,
8022,1995年度,06-403,山形県,飯豊町,9538,,
8023,1995年度,06-426,山形県,三川町,8188,,
8024,1995年度,06-428,山形県,庄内町,26251,,
