"統計名：","都道府県データ 社会生活統計指標"
"表番号：","0000010209"
"表題：","Ｉ　健康・医療"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","#I0520101","","#I0520102",""
"調査年 コード","調査年","地域 コード","地域","/Ｉ　健康・医療","#I0520101_平均余命［０歳・男］【年】","注釈","#I0520102_平均余命［０歳・女］【年】","注釈"
"1995100000","1995年度","10000","群馬県","","76.98","","83.12",""
"1995100000","1995年度","11000","埼玉県","","76.95","","82.92",""
"1995100000","1995年度","12000","千葉県","","76.89","","83.19",""
"1995100000","1995年度","13000","東京都","","76.91","","83.12",""
"1995100000","1995年度","14000","神奈川県","","77.20","","83.35",""
"1995100000","1995年度","15000","新潟県","","76.98","","83.66",""
"1995100000","1995年度","16000","富山県","","77.16","","83.86",""
"1995100000","1995年度","17000","石川県","","77.16","","83.54",""
"1995100000","1995年度","18000","福井県","","77.51","","83.63",""
"1995100000","1995年度","19000","山梨県","","76.82","","83.67",""
"1995100000","1995年度","20000","長野県","","78.08","","83.89",""
"1995100000","1995年度","21000","岐阜県","","77.17","","83.00",""
"1995100000","1995年度","22000","静岡県","","77.22","","83.70",""
"1995100000","1995年度","23000","愛知県","","76.90","","82.80",""
"1995100000","1995年度","24000","三重県","","76.76","","83.02",""
"1995100000","1995年度","25000","滋賀県","","77.13","","83.20",""
"1995100000","1995年度","26000","京都府","","77.14","","83.44",""
"1995100000","1995年度","27000","大阪府","","75.90","","82.52",""
"1995100000","1995年度","28000","兵庫県","","75.54","","81.83",""
"1995100000","1995年度","29000","奈良県","","77.14","","82.96",""
"1995100000","1995年度","30000","和歌山県","","76.07","","82.71",""
"1995100000","1995年度","31000","鳥取県","","76.09","","83.59",""
"1995100000","1995年度","32000","島根県","","76.90","","84.03",""
"1995100000","1995年度","33000","岡山県","","77.03","","83.81",""
"1995100000","1995年度","34000","広島県","","76.77","","83.66",""
"1995100000","1995年度","35000","山口県","","76.36","","83.57",""
"1995100000","1995年度","36000","徳島県","","76.21","","83.17",""
"1995100000","1995年度","37000","香川県","","77.12","","83.47",""
"1995100000","1995年度","38000","愛媛県","","76.43","","83.28",""
"1995100000","1995年度","39000","高知県","","76.18","","83.57",""
"1995100000","1995年度","40000","福岡県","","76.12","","83.44",""
"1995100000","1995年度","41000","佐賀県","","76.26","","83.43",""
"1995100000","1995年度","42000","長崎県","","76.15","","83.23",""
"1995100000","1995年度","43000","熊本県","","77.31","","84.39",""
"1995100000","1995年度","44000","大分県","","76.83","","83.61",""
"1995100000","1995年度","45000","宮崎県","","76.53","","83.66",""
"1995100000","1995年度","46000","鹿児島県","","76.13","","83.36",""
"1995100000","1995年度","47000","沖縄県","","77.22","","85.08",""
"2000100000","2000年度","01000","北海道","","77.55","","84.84",""
"2000100000","2000年度","02000","青森県","","75.67","","83.69",""
"2000100000","2000年度","03000","岩手県","","77.09","","84.60",""
"2000100000","2000年度","04000","宮城県","","77.71","","84.74",""
"2000100000","2000年度","05000","秋田県","","76.81","","84.32",""
"2000100000","2000年度","06000","山形県","","77.69","","84.57",""
"2000100000","2000年度","07000","福島県","","77.18","","84.21",""
"2000100000","2000年度","08000","茨城県","","77.20","","84.21",""
"2000100000","2000年度","09000","栃木県","","77.14","","84.04",""
"2000100000","2000年度","10000","群馬県","","77.86","","84.47",""
"2000100000","2000年度","11000","埼玉県","","78.05","","84.34",""
"2000100000","2000年度","12000","千葉県","","78.05","","84.51",""
"2000100000","2000年度","13000","東京都","","77.98","","84.38",""
"2000100000","2000年度","14000","神奈川県","","78.24","","84.74",""
"2000100000","2000年度","15000","新潟県","","77.66","","85.19",""
"2000100000","2000年度","16000","富山県","","78.03","","85.24",""
"2000100000","2000年度","17000","石川県","","77.96","","85.18",""
"2000100000","2000年度","18000","福井県","","78.55","","85.39",""
"2000100000","2000年度","19000","山梨県","","77.90","","85.21",""
"2000100000","2000年度","20000","長野県","","78.90","","85.31",""
"2000100000","2000年度","21000","岐阜県","","78.10","","84.33",""
"2000100000","2000年度","22000","静岡県","","78.15","","84.95",""
"2000100000","2000年度","23000","愛知県","","78.01","","84.22",""
"2000100000","2000年度","24000","三重県","","77.90","","84.49",""
"2000100000","2000年度","25000","滋賀県","","78.19","","84.92",""
"2000100000","2000年度","26000","京都府","","78.15","","84.81",""
"2000100000","2000年度","27000","大阪府","","76.97","","84.01",""
"2000100000","2000年度","28000","兵庫県","","77.57","","84.34",""
"2000100000","2000年度","29000","奈良県","","78.36","","84.80",""
"2000100000","2000年度","30000","和歌山県","","77.01","","84.23",""
"2000100000","2000年度","31000","鳥取県","","77.39","","84.91",""
"2000100000","2000年度","32000","島根県","","77.54","","85.30",""
"2000100000","2000年度","33000","岡山県","","77.80","","85.25",""
"2000100000","2000年度","34000","広島県","","77.76","","85.09",""
"2000100000","2000年度","35000","山口県","","77.03","","84.61",""
"2000100000","2000年度","36000","徳島県","","77.19","","84.49",""
"2000100000","2000年度","37000","香川県","","77.99","","84.85",""
"2000100000","2000年度","38000","愛媛県","","77.30","","84.57",""
"2000100000","2000年度","39000","高知県","","76.85","","84.76",""
"2000100000","2000年度","40000","福岡県","","77.21","","84.62",""
"2000100000","2000年度","41000","佐賀県","","76.95","","85.07",""
"2000100000","2000年度","42000","長崎県","","77.21","","84.81",""
"2000100000","2000年度","43000","熊本県","","78.29","","85.30",""
"2000100000","2000年度","44000","大分県","","77.91","","84.69",""
"2000100000","2000年度","45000","宮崎県","","77.42","","85.09",""
"2000100000","2000年度","46000","鹿児島県","","76.98","","84.68",""
"2000100000","2000年度","47000","沖縄県","","77.64","","86.01",""
"2005100000","2005年度","01000","北海道","","78.30","","85.78",""
"2005100000","2005年度","02000","青森県","","76.27","","84.80",""
"2005100000","2005年度","03000","岩手県","","77.81","","85.49",""
"2005100000","2005年度","04000","宮城県","","78.60","","85.75",""
"2005100000","2005年度","05000","秋田県","","77.44","","85.19",""
"2005100000","2005年度","06000","山形県","","78.54","","85.72",""
"2005100000","2005年度","07000","福島県","","77.97","","85.45",""
"2005100000","2005年度","08000","茨城県","","78.35","","85.26",""
"2005100000","2005年度","09000","栃木県","","78.01","","85.03",""
"2005100000","2005年度","10000","群馬県","","78.78","","85.47",""
"2005100000","2005年度","11000","埼玉県","","79.05","","85.29",""
"2005100000","2005年度","12000","千葉県","","78.95","","85.49",""
"2005100000","2005年度","13000","東京都","","79.36","","85.70",""
"2005100000","2005年度","14000","神奈川県","","79.52","","86.03",""
"2005100000","2005年度","15000","新潟県","","78.75","","86.27",""
"2005100000","2005年度","16000","富山県","","79.07","","86.32",""
"2005100000","2005年度","17000","石川県","","79.26","","86.46",""
"2005100000","2005年度","18000","福井県","","79.47","","86.25",""
"2005100000","2005年度","19000","山梨県","","78.89","","86.17",""
"2005100000","2005年度","20000","長野県","","79.84","","86.48",""
"2005100000","2005年度","21000","岐阜県","","79.00","","85.56",""
"2005100000","2005年度","22000","静岡県","","79.35","","86.06",""
"2005100000","2005年度","23000","愛知県","","79.05","","85.40",""
"2005100000","2005年度","24000","三重県","","78.90","","85.58",""
"2005100000","2005年度","25000","滋賀県","","79.60","","86.17",""
"2005100000","2005年度","26000","京都府","","79.34","","85.92",""
"2005100000","2005年度","27000","大阪府","","78.21","","85.20",""
"2005100000","2005年度","28000","兵庫県","","78.72","","85.62",""
"2005100000","2005年度","29000","奈良県","","79.25","","85.84",""
"2005100000","2005年度","30000","和歌山県","","77.97","","85.34",""
"2005100000","2005年度","31000","鳥取県","","78.26","","86.27",""
"2005100000","2005年度","32000","島根県","","78.49","","86.57",""
"2005100000","2005年度","33000","岡山県","","79.22","","86.49",""
"2005100000","2005年度","34000","広島県","","79.06","","86.27",""
"2005100000","2005年度","35000","山口県","","78.11","","85.63",""
"2005100000","2005年度","36000","徳島県","","78.09","","85.67",""
"2005100000","2005年度","37000","香川県","","78.91","","85.89",""
"2005100000","2005年度","38000","愛媛県","","78.25","","85.64",""
"2005100000","2005年度","39000","高知県","","77.93","","85.87",""
"2005100000","2005年度","40000","福岡県","","78.35","","85.84",""
"2005100000","2005年度","41000","佐賀県","","78.31","","86.04",""
"2005100000","2005年度","42000","長崎県","","78.13","","85.85",""
"2005100000","2005年度","43000","熊本県","","79.22","","86.54",""
"2005100000","2005年度","44000","大分県","","78.99","","86.06",""
"2005100000","2005年度","45000","宮崎県","","78.62","","86.11",""
"2005100000","2005年度","46000","鹿児島県","","77.97","","85.70",""
"2005100000","2005年度","47000","沖縄県","","78.64","","86.88",""
"2010100000","2010年度","01000","北海道","","79.17","","86.30",""
"2010100000","2010年度","02000","青森県","","77.28","","85.34",""
"2010100000","2010年度","03000","岩手県","","78.53","","85.86",""
"2010100000","2010年度","04000","宮城県","","79.65","","86.39",""
"2010100000","2010年度","05000","秋田県","","78.22","","85.93",""
"2010100000","2010年度","06000","山形県","","79.97","","86.28",""
"2010100000","2010年度","07000","福島県","","78.84","","86.05",""
"2010100000","2010年度","08000","茨城県","","79.09","","85.83",""
"2010100000","2010年度","09000","栃木県","","79.06","","85.66",""
"2010100000","2010年度","10000","群馬県","","79.40","","85.91",""
"2010100000","2010年度","11000","埼玉県","","79.62","","85.88",""
"2010100000","2010年度","12000","千葉県","","79.88","","86.20",""
"2010100000","2010年度","13000","東京都","","79.82","","86.39",""
"2010100000","2010年度","14000","神奈川県","","80.25","","86.63",""
"2010100000","2010年度","15000","新潟県","","79.47","","86.96",""
"2010100000","2010年度","16000","富山県","","79.71","","86.75",""
"2010100000","2010年度","17000","石川県","","79.71","","86.75",""
"2010100000","2010年度","18000","福井県","","80.47","","86.94",""
"2010100000","2010年度","19000","山梨県","","79.54","","86.65",""
"2010100000","2010年度","20000","長野県","","80.88","","87.18",""
"2010100000","2010年度","21000","岐阜県","","79.92","","86.26",""
"2010100000","2010年度","22000","静岡県","","79.95","","86.22",""
"2010100000","2010年度","23000","愛知県","","79.71","","86.22",""
"2010100000","2010年度","24000","三重県","","79.68","","86.25",""
"2010100000","2010年度","25000","滋賀県","","80.58","","86.69",""
"2010100000","2010年度","26000","京都府","","80.21","","86.65",""
"2010100000","2010年度","27000","大阪府","","78.99","","85.93",""
"2010100000","2010年度","28000","兵庫県","","79.59","","86.14",""
"2010100000","2010年度","29000","奈良県","","80.14","","86.60",""
"2010100000","2010年度","30000","和歌山県","","79.07","","85.69",""
"2010100000","2010年度","31000","鳥取県","","79.01","","86.08",""
"2010100000","2010年度","32000","島根県","","79.51","","87.07",""
"2010100000","2010年度","33000","岡山県","","79.77","","86.93",""
"2010100000","2010年度","34000","広島県","","79.91","","86.94",""
"2010100000","2010年度","35000","山口県","","79.03","","86.07",""
"2010100000","2010年度","36000","徳島県","","79.44","","86.21",""
"2010100000","2010年度","37000","香川県","","79.73","","86.34",""
"2010100000","2010年度","38000","愛媛県","","79.13","","86.54",""
"2010100000","2010年度","39000","高知県","","78.91","","86.47",""
